City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
331,Sola,VU,81.27,overcast clouds,-13.8833,167.55,Leumerus Bungalows
334,Valdivia,CL,75.29,clear sky,-39.8142,-73.2459,Hostal Entre Rios
340,Grand-Santi,GF,75.18,light rain,4.25,-54.3833,Hotel La Villa Couacou
341,Taltal,CL,64.26,few clouds,-25.4,-70.4833,Residencial Karime
345,Ca Mau,VN,76.01,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
349,Ponta Delgada,PT,65.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
350,Jalu,LY,65.16,few clouds,29.0331,21.5482,صاحبة الفخامة
351,Buraydah,SA,68.45,scattered clouds,26.326,43.975,فندق راحة السلام
353,Porto Novo,BJ,84.02,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
354,Colares,PT,63.28,overcast clouds,38.7992,-9.4469,Arribas Sintra Hotel
355,Sagaing,MM,69.62,broken clouds,21.8787,95.9797,Makara Cruise
356,Paidha,UG,62.31,scattered clouds,2.4167,30.9855,OPIPAAF (OTHUMBA PITHUA PALWONGA )
357,Sao Filipe,CV,78.87,overcast clouds,14.8961,-24.4956,Hotel Xaguate
358,Aswan,EG,67.3,clear sky,24.0934,32.907,Nuba Nile
359,Otane,NZ,72.39,clear sky,-39.8833,176.6333,Ludlow Farmstay
360,Meadow Lake,US,63.37,few clouds,34.8014,-106.5436,TumbleWeed RV Park
362,Namibe,AO,71.83,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
363,Vanimo,PG,80.22,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
365,Humaita,BR,74.48,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
366,Mildura,AU,60.76,overcast clouds,-34.2,142.15,Mercure Hotel Mildura
369,Pontianak,ID,75.18,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
370,Malim,PH,80.13,few clouds,7.452,123.4312,Malim
372,Pontian Kecil,MY,80.73,moderate rain,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
374,Nabire,ID,77.22,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
375,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
376,Surt,LY,68.43,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
377,Takoradi,GH,79.79,clear sky,4.8845,-1.7554,Raybow International Hotel
379,Jaypur,IN,69.57,overcast clouds,18.85,82.5833,Hotel Hello Jeypore
380,Half Moon Bay,US,68.7,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
382,Honiara,SB,84.22,broken clouds,-9.4333,159.95,Heritage Park Hotel
383,Lingao,CN,71.1,broken clouds,19.9103,109.6859,Lingao Ditai Inn
384,Mareeba,AU,75.33,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
386,Mindelo,CV,76.55,broken clouds,16.8901,-24.9804,Hotel Gaudi
387,Naze,JP,68.92,scattered clouds,28.3667,129.4833,Shishime Hotel
389,Rio Grande,BR,71.71,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
394,Mahebourg,MU,75.49,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
395,Rio Gallegos,AR,64.45,scattered clouds,-51.6226,-69.2181,Hotel Santa Cruz
396,Nizwa,OM,66.38,clear sky,22.9333,57.5333,Orient Apartments
397,East London,ZA,60.69,light rain,-33.0153,27.9116,Tu Casa
399,Qiongshan,CN,67.98,scattered clouds,20.0058,110.3542,Sun City Restaurant
401,Kanniyakumari,IN,78.42,overcast clouds,8.0833,77.5667,Sparsa
402,Beira,MZ,77.81,overcast clouds,-19.8436,34.8389,Beira Terrace Hotel
403,Martapura,ID,75.29,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
405,Kanke,IN,64.42,haze,23.4333,85.3167,Hotel Holiday Home
408,Bhinmal,IN,72.55,overcast clouds,25.0,72.25,Jambheswar Bhavan(Gopi Khilery)
412,Imaculada,BR,83.16,broken clouds,-7.3897,-37.5092,kasa de karolll
414,Saint-Joseph,RE,73.76,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
415,Rojhan,PK,65.95,clear sky,28.6868,69.9534,Nawab Imam Bux Khan Bangla
416,Manzanillo,CU,82.22,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
417,Millbrook,US,66.27,clear sky,32.4799,-86.3619,Courtyard by Marriott Montgomery Prattville
419,Corn Island,NI,81.37,overcast clouds,12.1694,-83.0418,Big Fish Guest House
423,Sao Gabriel Da Cachoeira,BR,77.25,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
425,Talara,PE,74.16,clear sky,-4.5772,-81.2719,Hostal Oro Negro
429,Belmonte,BR,79.3,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
430,Dubti,ET,80.01,scattered clouds,11.7361,41.0853,degu Shiferaw
431,Cozumel,MX,82.47,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
433,Francisco Sa,BR,77.14,overcast clouds,-16.4758,-43.4883,Amaralina Hotel
434,Basco,PH,79.36,broken clouds,20.4487,121.9702,Nathaniel's Lodge
437,Boca Do Acre,BR,73.54,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
438,Lompoc,US,70.11,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
439,Port Hueneme,US,76.64,scattered clouds,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
445,Point Pedro,LK,79.81,broken clouds,9.8167,80.2333,Gtr homes
447,Howard Springs,AU,82.31,broken clouds,-12.497,131.047,buffalo beach hostel
448,San Cristobal,VE,73.11,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
453,Ugoofaaru,MV,80.94,broken clouds,5.6667,73.0,Ungoofaaru Inn
454,Paita,PE,73.96,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
455,Fountain Hills,US,82.27,clear sky,33.6117,-111.7174,Lakeshore Hotel & Suites
460,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
