City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
208,Codrington,AU,-38.2667,141.9667,54.99,58,70,9.37,broken clouds
209,Tugulym,RU,57.0591,64.6425,24.87,81,100,11.61,overcast clouds
210,Zurrieq,MT,35.8311,14.4742,60.96,94,20,1.14,few clouds
211,Kavaratti,IN,10.5669,72.642,81.55,77,88,18.54,overcast clouds
212,Kruisfontein,ZA,-34.0033,24.7314,55.89,81,35,5.32,scattered clouds
213,Mar Del Plata,AR,-38.0023,-57.5575,60.82,87,0,8.99,clear sky
214,Sidi Ali,DZ,36.0998,0.4206,61.03,49,100,6.96,overcast clouds
215,Mirnyy,RU,62.5353,113.9611,-5.4,99,100,2.13,overcast clouds
216,Isangel,VU,-19.55,169.2667,80.71,78,75,5.75,broken clouds
217,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,63,87,5.93,overcast clouds
218,Acapulco,MX,16.8634,-99.8901,85.82,70,20,10.36,few clouds
219,Altagracia De Orituco,VE,9.8601,-66.3814,77.29,72,99,5.97,overcast clouds
220,Gigmoto,PH,13.7796,124.39,78.62,86,47,2.42,scattered clouds
221,Storforshei,NO,66.4043,14.5233,36.66,93,75,5.75,light intensity shower rain
222,Vostok,RU,46.4856,135.8833,12.07,98,96,3.53,overcast clouds
223,Jaumave,MX,23.4167,-99.3833,68.05,70,81,3.89,broken clouds
224,Mehamn,NO,71.0357,27.8492,37.31,93,75,5.75,light snow
225,Fortuna,US,40.5982,-124.1573,57.85,69,77,1.99,broken clouds
226,Havelock,US,34.8791,-76.9013,55.4,45,20,1.99,few clouds
227,Khatanga,RU,71.9667,102.5,-23.01,91,35,2.8,scattered clouds
228,Sur,OM,22.5667,59.5289,73.67,61,0,5.91,clear sky
229,Bandarbeyla,SO,9.4942,50.8122,76.86,75,85,11.01,overcast clouds
230,Westport,US,41.1415,-73.3579,46.74,50,1,1.01,clear sky
231,Asfi,MA,32.2994,-9.2372,63.34,71,68,7.29,broken clouds
232,Seoul,KR,37.5683,126.9778,47.68,97,75,2.3,fog
233,Iwanai,JP,42.9744,140.5089,38.91,74,98,6.04,overcast clouds
234,Vao,NC,-22.6667,167.4833,72.55,79,100,12.95,overcast clouds
235,Coutances,FR,49.05,-1.4333,52.16,93,11,4.83,few clouds
236,Sitka,US,57.0531,-135.33,33.69,75,90,0.0,overcast clouds
237,Finschhafen,PG,-6.6024,147.8681,81.12,80,98,3.94,overcast clouds
238,Alice Springs,AU,-23.7,133.8833,69.35,49,0,0.0,clear sky
